champagnes,0.5
champignons,0.2
champion,2.9
champions,2.4
championship,1.9
championships,2.2
champs,1.8
chance,1
chances,0.8
chaos,-2.7
charged,-0.8
charges,-1.1
charitable,1.7
charities,2.2
charity,1.8
charm,1.7
charmed,2
charmer,1.9
charming,2.8
charms,1.9
cheap,-2
cheat,-2
cheated,-2.3
cheater,-2.5
cheaters,-1.9
cheating,-2.6
cheats,-1.8
cheer,2.3
cheered,2.3
cheerful,2.5
cheerfully,2.1
cheerier,2.6
cheering,2.3
cheerio,1.2
cheerleader,0.9
cheerleaders,1.2
cheerleading,1.2
cheers,2.1
cheery,2.6
cherish,1.6
cherished,2.3
cherishes,2.2
chic,1.1
childish,-1.2
chilling,-0.1
choke,-2.5
choked,-2.1
chokes,-2
choking,-2
chuckle,1.7
chuckles,1.1
chuckling,1.4
clarity,1.7
classy,1.9
clean,1.7
cleaner,0.7
clear,1.6
cleared,0.4
clearly,1.7
clears,0.3
clever,2
cleverest,2.6
cleverly,2.3
clouded,-0.2
clueless,-1.5
cock,-0.6
cocky,-0.5
collapse,-2.2
collapsed,-1.1
collapses,-1.2
collide,-0.3
collision,-1.5
combat,-1.4
comedian,1.6
comedians,1.2
comedic,1.7
comedienne,0.6
comedies,1.7
comedy,1.5
comfort,1.5
comfortable,2.3
comfortably,1.8
comforting,1.7
commend,1.9
commit,1.2
commitment,1.6
committed,1.1
committing,0.3
compassion,2
compassionate,2.2
compelled,0.2
compelling,0.9
competent,1.3
competitive,0.7
complacent,-0.3
complain,-1.5
complained,-1.7
complaining,-0.8
complains,-1.6
complaint,-1.2
complaints,-1.7
compliment,2.1
complimentary,1.9
complimented,1.8
complimenting,2.3
compliments,1.7
comprehensive,1
condemn,-1.6
condemned,-1.9
condemns,-2.3
confidence,2.3
confident,2.2
confidently,2.1
conflict,-1.3
conflicting,-1.7
conflicts,-1.6
confront,-0.7
confrontation,-1.3
confronted,-0.8
confuse,-0.9
confused,-1.3
confusing,-0.9
confusion,-1.2
congratulate,2.2
congratulations,2.9
consent,0.9
considerate,1.9
conspiracy,-2.4
contagious,-1.4
contempt,-2.8
contemptible,-1.6
contend,0.2
contentious,-1.2
contentment,1.5
contradict,-1.3
contradicts,-1.4
controversial,-0.8
convince,1
convinced,1.7
convincing,1.7
cool,1.3
cornered,-1.1
corpse,-2.7
costly,-0.4
courage,2.2
courageous,2.4
courteous,2.3
courtesy,1.5
coward,-2
cowardly,-1.6
cramp,-0.8
crap,-1.6
crappy,-2.6
crash,-1.7
craze,-0.6
crazed,-0.5
crazier,-0.1
craziest,-0.2
craziness,-1.6
crazy,-1.4
create,1.1
created,1
creates,1.1
creating,1.2
creation,1.1
creationism,0.7
creationists,0.5
creations,1.6
creative,1.9
creatively,1.5
creativity,1.6
credit,1.6
creditor,-0.1
credits,1.5
crestfallen,-2.5
cried,-1.6
cries,-1.7
crime,-2.5
criminal,-2.4
criminals,-2.7
crisis,-3.1
critic,-1.1
critical,-1.3
criticism,-1.9
criticisms,-0.9
criticize,-1.6
criticized,-1.5
criticizing,-1.5
critics,-1.2
crude,-2.7
crudely,-1.2
cruel,-2.8
cruelest,-2.6
cruelly,-2.8
cruelty,-2.9
crush,-0.6
crushed,-1.8
crushes,-1.9
crushing,-1.5
cry,-2.1
crying,-2.1
curious,1.3
curse,-2.5
cut,-1.1
cute,2
cuteness,2.3
cuter,2.3
cutest,2.8
cutesy,2.1
cutie,1.5
cuts,-1.2
cutting,-0.5
cynical,-1.6
dadpleas,-0.7
damage,-2.2
damaged,-1.9
damages,-1.9
damaging,-2.3
damnation,-2.6
damned,-1.6
damning,-1.4
damnit,-2.4
danc,1.9
danger,-2.4
dangerous,-2.1
dangerously,-2
dangers,-2.2
daredevil,0.5
daring,1.5
darkest,-2.2
darkness,-1
darling,2.8
darlings,2.2
dead,-3.3
deadlock,-1.4
dear,1.6
dearest,2.6
dearie,2.2
dearly,1.8
death,-2.9
debonair,0.8
debt,-1.5
decay,-1.7
decaying,-1.7
deceit,-2
deceitful,-1.9
deceive,-1.7
deceived,-1.9
deception,-1.9
decisive,0.9
dedicated,2
defeat,-2
defeated,-2.1
defeats,-1.3
defect,-1.4
defected,-1.7
defective,-1.9
defectives,-1.8
defects,-1.7
defender,0.4
defense,0.5
defenseless,-1.4
defensively,-0.6
defiant,-0.9
deficit,-1.7
definite,1.1
definitely,1.7
degradation,-2.4
degraded,-1.8
degrading,-2.8
dehumanizing,-2.4
delay,-1.3
delayed,-0.9
delectable,2.9
delicaci ,2.5
delicate,0.2
delicately,1
delicates,0.6
delicious,2.7
deliciousness,1.8
delight,2.9
delighted,2.3
delightful,2.8
delightfully,2.7
delightfulness,2.1
delighting,1.6
delights,2
demand,-0.5
demanded,-0.9
demanding,-0.9
demonstration,0.4
denied,-1.9
denier,-1.5
denounce,-1.4
deny,-1.4
denying,-1.4
depart,-2
departed,-4
departing,-4
depress,-2.2
depressant,-1.6
depressed,-2.3
depressing,-1.6
depression,-2.7
depressive,-1.6
deprivation,-1.8
deprive,-2.1
deprived,-2.1
derail,-1.2
derailed,-1.4
derails,-1.3
deride,-1.1
desirable,1.3
desire,1.7
despair,-1.3
desperate,-1.3
desperately,-1.6
desperation,-2
despise,-1.4
despised,-1.7
despondent,-2.1
destroy,-2.5
destroyed,-2.2
destroyer,-2
destroying,-2.6
destruct,-2.4
destruction,-2.7
destructive,-3
detached,-0.5
detention,-1.5
determination,1.7
determined,1.4
devastated,-3
devastating,-3.3
devastation,-1.8
devil,-3.4
deviled,-1.6
devilish,-2.1
devilled,-2.3
devils,-2.7
devote,1.4
devoted,1.7
devotee,1.6
devotion,2
diamond,1.4
dick,-2.3
die,-2.9
died,-2.6
difficult,-1.5
difficulties,-1.2
difficulty,-1.4
dignified,2.2
dignify,1.8
dignitaries,0.6
dignity,1.7
dilemma,-0.7
dire,-2
dirt,-1.4
dirty,-1.9
disabling,-2.1
disadvantaged,-1.7
disagree,-1.6
disagreeable,-1.7
disagreement,-1.5
disappear,-0.9
disappeared,-0.9
disappears,-1.4
disappoint,-1.7
disappointed,-2.1
disappointing,-2.2
disappointment,-2.3
disappointments,-2
disaster,-3.1
disasters,-2.6
disastrous,-2.9
disbelieve,-1.2
discard,-1
discarded,-1.4
discomforting,-1.6
discord,-1.7
discourage,-1.8
discouraged,-1.7
discouraging,-1.9
discredited,-1.9
disdain,-2.1
disgrace,-2.2
disgraced,-2
disguise,-1
disguised,-1.1
disguises,-1
disgust,-2.9
disgusted,-2.4
disgusting,-2.4
disgusts,-2.1
disheartened,-2.2
dishonest,-2.7
disillusioned,-1.9
disillusioning,-1.3
disillusionment,-1.7
disjointed,-1.3
dislike,-1.6
dismal,-3
disorder,-1.7
disoriented,-1.5
disparaging,-2.2
displeased,-1.9
dispute,-1.7
disputed,-1.4
disputes,-1.1
disputing,-1.7
